names,latitudes,longitudes,total_user_ratings,ratings,price_levels,haversine_distance (km),distance_from_school (km),walking duration (hour)
Pho Hana Restaurant,33.9755278,-117.8381449,100,4.4,1.0,0.7775235683574814,1.3,15.0
Tea Rush,33.9759697,-117.8378909,31,4.3,1.0,0.731882033351085,1.3,15.0
Curry India Bistro,33.9754168,-117.8382473,232,4.3,2.0,0.7888054283490816,1.3,15.0
Young Dong Tofu House,33.974638,-117.8377797,147,4.4,2.0,0.8798970227068875,1.5,17.0
Mr Poke,33.9975581,-117.8541266,160,4.7,,2.1759174789152134,3.4,40.0
King Bap,34.0026619,-117.8093533,95,4.7,1.0,3.5430426048357213,4.1,52.0
Casa Alvarez,33.9856424,-117.8711728,322,4.5,2.0,2.9791087461953447,4.5,55.0
Farmer Boys,34.0026394,-117.8458913,699,4.3,2.0,2.3281029512935674,2.9,34.0
In-N-Out Burger,34.000498,-117.843455,821,4.5,1.0,2.043958078385862,2.6,30.0
Flame Broiler,33.974638,-117.8377797,25,3.8,1.0,0.8798970227068875,1.5,17.0
Mansun Japanese Restaurant,34.0004217,-117.8419622,192,4.3,2.0,2.01295033167469,2.7,31.0
Jasmine Mediterranean & Persian Cuisine,34.0000214,-117.843069,368,4.3,2.0,1.9851424606473675,2.5,29.0
Chili's Grill & Bar,34.0061091,-117.821928,715,4.2,2.0,3.0673274368539527,4.7,58.0
OoToro Sushi Japanese Restaurant,33.9883074,-117.8707402,215,4.5,4.0,2.9894633652857348,4.4,53.0
Rolling Spicy Kimchi,33.9971904,-117.8139362,66,4.5,1.0,2.8380386816160628,3.7,46.0
Kokio Chicken,33.9744705,-117.8380384,87,3.7,,0.8954570834949281,1.5,17.0
BBQ STOP,33.997275,-117.854735,502,4.5,2.0,2.188313049437748,3.5,41.0
Myung Dong Tofu Restaurant,33.9974777,-117.8552204,147,4.3,2.0,2.2348400924794105,3.6,42.0
Mr. G's Pizza - Diamond Bar,33.9999485,-117.8106364,290,4.7,1.0,3.264260163301107,3.8,48.0
Jack in the Box,33.9995727,-117.8464969,352,3.9,1.0,2.020008118860166,2.7,31.0
Del Taco,33.9992348,-117.8452454,333,4.0,1.0,1.9479968314377265,2.6,29.0
Wok Restaurant,33.9998535,-117.8128879,60,4.4,1.0,3.0933082270523444,3.8,47.0
Kyala Sushi & Japanese Cuisine,34.0015067,-117.8092633,99,4.4,2.0,3.469680320289611,4.1,51.0
IL Poom,33.998389,-117.8453413,120,4.1,2.0,1.8609521058265763,2.5,29.0
Mikasa Restaurant,34.0051489,-117.8680761,318,4.6,1.0,3.673907637234002,5.6,1.0
Melt Ice and Teppan Bar,33.9747269,-117.8391769,12,3.7,,0.8617336198154714,1.4,16.0
Barro's Pizza,33.9990273,-117.8457362,328,4.3,2.0,1.9397552253544645,2.6,29.0
China Tasty & BBQ,33.9845005,-117.8444052,22,3.8,,0.5394097789008009,0.6,8.0
Mandarin Taste,34.0180976,-117.810766,185,4.5,2.0,4.744014140675814,6.2,1.0
Baek Oak Korean & Japanese Restaurant,33.9983566,-117.8442906,8,3.8,,1.8297828863143168,2.4,27.0
Old Chengdu Restaurant 老成都川菜馆,34.0,-117.8108746,168,4.1,2.0,3.2500684448429213,3.8,47.0
Chick-fil-A,34.0260675,-117.8361698,1087,4.6,1.0,4.8545886503367415,5.9,1.0
Shabu Haru,33.9867472,-117.8726573,91,4.4,2.0,3.1313097562200856,4.5,55.0
Tasty Box BBQ,33.9757513,-117.8380672,41,4.5,,0.7536944294300358,1.4,15.0
Awoolim Kimbap Factory,33.9745763,-117.8392467,10,4.4,,0.87856209063025,1.4,16.0
Rubio's Coastal Grill,34.0273149,-117.8371198,201,4.4,1.0,4.989133604382865,5.9,1.0
Dilliwala Indian Kitchen,34.0194919,-117.8104091,227,4.5,2.0,4.891898477622952,6.3,1.0
Los Amigos Restaurant,34.0157032,-117.8506004,185,4.3,1.0,3.8440564141720595,5.6,1.0
Walnut Tree Restaurant,34.0108383,-117.8590625,159,4.3,1.0,3.651922807780828,4.7,55.0
Munchies in Hmart,33.9744241,-117.839504,1,5.0,,0.896183950066526,1.5,17.0
Cafe 101,33.9758137,-117.8379861,44,4.2,,0.7477905965170539,1.3,14.0
Ong Ga Nae Korean Barbeque,33.98758249999999,-117.8710901,294,4.3,2.0,3.0047081452506053,4.4,53.0
Paradise Pizza,34.0110099,-117.8593542,21,4.1,1.0,3.681984060912744,4.7,56.0
WaBa Grill,34.01007999999999,-117.8596,103,4.4,1.0,3.605105225148191,4.7,55.0
El Pollo Loco,33.9999805,-117.8108375,306,4.3,1.0,3.2515084081577776,3.8,47.0
Pounder,33.99830900000001,-117.8437605,33,4.4,,1.812443346561572,2.3,26.0
Pho Rowland Vietnamese Restaurant,33.9953029,-117.8903412,192,4.5,1.0,4.9358869833946954,7.2,1.0
Carl's Jr.,33.9969922,-117.8708912,484,3.9,1.0,3.3469933199286603,5.5,1.0
Little Shanghai Restaurant,33.9894008,-117.9032506,71,4.4,1.0,5.965644066209072,7.4,1.0
The Boiling Crab,33.995686,-117.8898731,1960,4.6,2.0,4.907158660546513,7.2,1.0
Double O Restaurant,33.9973655,-117.8551506,6,3.8,,2.2212487021461573,3.6,42.0
Cho Dang Tofu Restaurant,34.0025807,-117.8112888,99,4.3,2.0,3.400912309714653,4.3,54.0
S&J Gran cafe,33.998389,-117.8453413,21,4.8,,1.8609521058265763,2.5,29.0
Diamond Palace Cuisine of India,33.999712,-117.8099449,248,4.3,2.0,3.300371140200495,3.9,48.0
Sun Nong Dan,33.9947623,-117.8897133,465,4.3,2.0,4.8632818058717575,7.3,1.0
Pizza Supreme,34.0094208,-117.8854334,320,4.5,2.0,5.218313739007603,7.7,1.0
Chipotle Mexican Grill,34.0208776,-117.8105588,121,4.2,1.0,5.01496945367251,6.3,1.0
Diamond Palace Chinese Seafood,34.0218186,-117.8118101,377,4.2,2.0,5.045885752081374,6.5,1.0
Seasons Cafe,34.0185365,-117.8106347,58,4.4,1.0,4.7914486225246735,6.2,1.0
Happy Family Restaurant,33.9884943,-117.9032719,125,4.3,1.0,5.955456220758356,7.3,1.0
